nro,codigo,codigo_interno,nombre,mercado,tipo_cliente,latitud,longitud,supervisor,reponedor_asignado,tiempo_visita_estimado_min,lunes,martes,miercoles,jueves,viernes,sabado,frecuencia_semanal,frecuencia_mensual
1,GV001,111886,GV001,CHASQUIPAMPA,MINORISTA,-16.53678674,-68.04696858,SUPERVISOR 1,REPONEDOR 1,40,1,0,0,1,0,0,2,8
2,GV002,29849,GV002,CHASQUIPAMPA,MINORISTA,-16.5360361,-68.0458746,SUPERVISOR 1,REPONEDOR 1,30,1,0,0,0,0,0,1,4
3,GV003,121652,GV003,CHASQUIPAMPA,MINORISTA,-16.5372816,-68.0481013,SUPERVISOR 1,REPONEDOR 1,20,1,0,0,0,0,0,1,4
5,GV004,121652,GV004,CHASQUIPAMPA,MINORISTA,-16.5374663,-68.0485621,SUPERVISOR 1,REPONEDOR 1,20,1,0,0,0,0,0,1,4
6,GV005,39702,GV005,CHASQUIPAMPA,MINORISTA,-16.5371804,-68.0481663,SUPERVISOR 1,REPONEDOR 1,40,1,0,0,0,0,0,1,4
7,GV006,75182,GV006,CHASQUIPAMPA,MINORISTA,-16.537521,-68.0482,SUPERVISOR 1,REPONEDOR 1,15,1,0,0,0,0,0,1,4
8,GV007,82768,GV007,CHASQUIPAMPA,MINORISTA,-16.5374514,-68.0484989,SUPERVISOR 1,REPONEDOR 1,20,1,0,0,0,0,0,1,4
9,GV008,130051,GV008,CHASQUIPAMPA,MINORISTA,-16.5377087,-68.0500336,SUPERVISOR 1,REPONEDOR 1,10,1,0,0,0,0,0,1,4
10,GV009,109861,GV009,ALTO PAMPAHASI,MINORISTA,-16.49544574,-68.1034628,SUPERVISOR 1,REPONEDOR 1,20,0,1,0,0,0,0,1,4
11,GV010,38180,GV010,ALTO PAMPAHASI,MINORISTA,-16.4954428,-68.1020593,SUPERVISOR 1,REPONEDOR 1,25,0,1,0,0,0,0,1,4
12,GV011,82728,GV011,10 DE ENERO,MINORISTA,-16.5019009,-68.1046631,SUPERVISOR 1,REPONEDOR 1,25,0,1,0,0,0,0,1,4
13,GV012,99137,GV012,10 DE ENERO,MINORISTA,-16.5017024,-68.1042295,SUPERVISOR 1,REPONEDOR 1,25,0,1,0,0,0,0,1,4
14,GV013,111538,GV013,10 DE ENERO,MINORISTA,-16.50172437,-68.10421574,SUPERVISOR 1,REPONEDOR 1,20,0,1,0,0,0,0,1,4
15,GV014,101854,GV014,10 DE ENERO,MINORISTA,-16.5019859,-68.1037724,SUPERVISOR 1,REPONEDOR 1,70,0,1,0,0,0,0,1,4
16,GV015,74076,GV015,10 DE ENERO,MINORISTA,-16.5008563,-68.1053203,SUPERVISOR 1,REPONEDOR 1,30,0,1,0,0,0,0,1,4
17,GV016,35915,GV016,SAN ANTONIO,MINORISTA,-16.4979223,-68.1085645,SUPERVISOR 1,REPONEDOR 1,25,0,1,0,0,0,0,1,4
18,GV017,66479,GV017,SAN ANTONIO,MINORISTA,-16.4980489,-68.1085043,SUPERVISOR 1,REPONEDOR 1,30,0,1,0,0,0,0,1,4
19,GV018,92826,GV018,SAN ANTONIO,MINORISTA,-16.49849299,-68.10847317,SUPERVISOR 1,REPONEDOR 1,60,0,1,0,0,0,0,1,4
20,GV019,38275,GV019,SAN ANTONIO,MINORISTA,-16.497745,-68.1086738,SUPERVISOR 1,REPONEDOR 1,35,0,1,0,0,0,0,1,4
21,GV020,75088,GV020,KOLLASUYO,MINORISTA,-16.4952836,-68.116675,SUPERVISOR 1,REPONEDOR 1,30,0,0,1,0,0,0,1,2
22,GV021,55137,GV021,KOLLASUYO,MINORISTA,-16.4952047,-68.1166545,SUPERVISOR 1,REPONEDOR 1,15,0,0,1,0,0,0,1,2
23,GV022,51600,GV022,KOLLASUYO,MINORISTA,-16.4952851,-68.1166793,SUPERVISOR 1,REPONEDOR 1,38,0,0,1,0,0,0,1,2
24,GV023,13131,GV023,KOLLASUYO,MINORISTA,-16.4955112,-68.1168715,SUPERVISOR 1,REPONEDOR 1,25,0,0,1,0,0,0,1,2
25,GV024,47867,GV024,CRUCE DE VILLAS,MINORISTA,-16.4957719,-68.1168489,SUPERVISOR 1,REPONEDOR 1,45,0,0,1,0,0,0,1,4
